infer_ticks,final_mse
1,0.11721217288648617
2,0.11697436557391495
5,0.030171258574022475
10,0.019227497534446646
20,0.009712794654653514
50,0.004095350740173126
100,0.0034188024216629718
200,0.003315177033976054
500,0.003313763456740419
