tick,phase,max_abs_diff,rmse_all,state_rmse_l0,state_rmse_l1,state_rmse_l2,weight_rmse_l0,weight_rmse_l1,error_rmse_l0,error_rmse_l1
90,infer,4.768371586472142e-08,8.130006188008627e-09,0.0,2.9773944245237655e-12,3.769728732309794e-08,0.0,0.0,3.1209838647952643e-13,3.4547572486514167e-12
91,infer,4.768371586472142e-08,8.1300061638984e-09,0.0,2.775431864051201e-12,3.769728732309794e-08,0.0,0.0,3.4838539726834686e-13,2.9773944245237655e-12
92,infer,4.768371586472142e-08,8.130006154817197e-09,0.0,2.6988721836699658e-12,3.769728732309794e-08,0.0,0.0,3.359482212507137e-13,2.775431864051201e-12
93,infer,4.768371586472142e-08,8.130006146655578e-09,0.0,2.512443233930048e-12,3.769728732309794e-08,0.0,0.0,2.547826497366226e-13,2.6988721836699658e-12
94,infer,4.768371586472142e-08,8.130006151827422e-09,0.0,2.8607921517201354e-12,3.769728732309794e-08,0.0,0.0,2.645201442523327e-13,2.512443233930048e-12
95,infer,4.768371586472142e-08,8.130006158409371e-09,0.0,2.7305902727277964e-12,3.769728732309794e-08,0.0,0.0,2.809946767333075e-13,2.8607921517201354e-12
96,infer,4.768371586472142e-08,8.130006162033539e-09,0.0,2.972199169409791e-12,3.769728732309794e-08,0.0,0.0,2.3907979936362196e-13,2.7305902727277964e-12
97,infer,4.768371586472142e-08,8.130006169040738e-09,0.0,2.948276311331907e-12,3.769728732309794e-08,0.0,0.0,2.0488602386379347e-13,2.972199169409791e-12
98,infer,4.768371586472142e-08,8.130006177902324e-09,0.0,3.21970853934391e-12,3.769728732309794e-08,0.0,0.0,2.526939338969698e-13,2.948276311331907e-12
99,infer,4.768371586472142e-08,8.13000618727418e-09,0.0,3.212836353987992e-12,3.769728732309794e-08,0.0,0.0,2.7340095941679956e-13,3.21970853934391e-12
100,infer,4.768371586472142e-08,8.130006178377693e-09,0.0,2.971868100108583e-12,3.769728732309794e-08,0.0,0.0,2.1762829687999492e-13,3.212836353987992e-12
101,infer,4.768371586472142e-08,8.130006150715123e-09,0.0,2.3431697813915186e-12,3.769728732309794e-08,0.0,0.0,2.0691937158210082e-13,2.971868100108583e-12
102,infer,4.768371586472142e-08,8.130006128969216e-09,0.0,2.244403204234442e-12,3.769728732309794e-08,0.0,0.0,1.8506723069045301e-13,2.3431697813915186e-12
103,infer,4.768371586472142e-08,8.130006121135976e-09,0.0,2.0315648116210413e-12,3.769728732309794e-08,0.0,0.0,1.6192187942399658e-13,2.244403204234442e-12
104,infer,4.768371586472142e-08,8.130006116235647e-09,0.0,2.0475567106037772e-12,3.769728732309794e-08,0.0,0.0,1.0307204922439552e-13,2.0315648116210413e-12
105,infer,4.768371586472142e-08,8.13000611234733e-09,0.0,1.8554772771787506e-12,3.769728732309794e-08,0.0,0.0,1.3047905143860022e-13,2.0475567106037772e-12
106,infer,4.768371586472142e-08,8.130006109587537e-09,0.0,1.926300988075227e-12,3.769728732309794e-08,0.0,0.0,1.2766142091067426e-13,1.8554772771787506e-12
107,infer,4.768371586472142e-08,8.130006113655042e-09,0.0,2.038017730225251e-12,3.769728732309794e-08,0.0,0.0,1.290109683185956e-13,1.926300988075227e-12
108,infer,4.768371586472142e-08,8.130006114061079e-09,0.0,1.9458210492506253e-12,3.769728732309794e-08,0.0,0.0,1.0245159124116508e-13,2.038017730225251e-12
109,infer,4.768371586472142e-08,8.130006111717891e-09,0.0,1.9347346616590655e-12,3.769728732309794e-08,0.0,0.0,1.0716087967486525e-13,1.9458210492506253e-12
110,infer,4.768371586472142e-08,8.130006109826819e-09,0.0,1.859472668542084e-12,3.769728732309794e-08,0.0,0.0,9.411379272566478e-14,1.9347346616590655e-12
111,infer,4.768371586472142e-08,8.130006106372185e-09,0.0,1.7710263961189935e-12,3.769728732309794e-08,0.0,0.0,1.1227216136826864e-13,1.859472668542084e-12
112,infer,4.768371586472142e-08,8.130006104642966e-09,0.0,1.7754401779415638e-12,3.769728732309794e-08,0.0,0.0,1.2984753186961133e-13,1.7710263961189935e-12
113,infer,4.768371586472142e-08,8.130006102415408e-09,0.0,1.6571465870905245e-12,3.769728732309794e-08,0.0,0.0,1.3504969304943367e-13,1.7754401779415638e-12
114,infer,4.768371586472142e-08,8.130006099903987e-09,0.0,1.6488640437904275e-12,3.769728732309794e-08,0.0,0.0,1.0411471725426774e-13,1.6571465870905245e-12
115,infer,4.768371586472142e-08,8.130006096363953e-09,0.0,1.4590754215106503e-12,3.769728732309794e-08,0.0,0.0,9.368552674233497e-14,1.6488640437904275e-12
116,infer,4.768371586472142e-08,8.130006093678314e-09,0.0,1.498792124909362e-12,3.769728732309794e-08,0.0,0.0,1.1267063294197334e-13,1.4590754215106503e-12
117,infer,4.768371586472142e-08,8.13000609415456e-09,0.0,1.4892488946791836e-12,3.769728732309794e-08,0.0,0.0,7.12294695634975e-14,1.498792124909362e-12
118,infer,4.768371586472142e-08,8.130006090498622e-09,0.0,1.2677686742810431e-12,3.769728732309794e-08,0.0,0.0,7.216330230532679e-14,1.4892488946791836e-12
119,infer,4.768371586472142e-08,8.130006088206015e-09,0.0,1.3476448992159114e-12,3.769728732309794e-08,0.0,0.0,8.069860381621192e-14,1.2677686742810431e-12
120,infer,4.768371586472142e-08,8.130006088658187e-09,0.0,1.2996629310527394e-12,3.769728732309794e-08,0.0,0.0,5.2096459509182067e-14,1.3476448992159114e-12
121,infer,4.768371586472142e-08,8.130006086724856e-09,0.0,1.2148828857169892e-12,3.769728732309794e-08,0.0,0.0,7.576173622618694e-14,1.2996629310527394e-12
122,infer,4.768371586472142e-08,8.130006085617785e-09,0.0,1.2231815269137542e-12,3.769728732309794e-08,0.0,0.0,7.066534793154007e-14,1.2148828857169892e-12
123,infer,4.768371586472142e-08,8.130006086966981e-09,0.0,1.3080552606348976e-12,3.769728732309794e-08,0.0,0.0,7.754685557215627e-14,1.2231815269137542e-12
124,infer,4.768371586472142e-08,8.130006089227919e-09,0.0,1.3746809568535067e-12,3.769728732309794e-08,0.0,0.0,9.04531216131884e-14,1.3080552606348976e-12
125,infer,4.768371586472142e-08,8.130006089422341e-09,0.0,1.321184005079791e-12,3.769728732309794e-08,0.0,0.0,8.642332702289452e-14,1.3746809568535067e-12
126,infer,4.768371586472142e-08,8.13000608610514e-09,0.0,1.145420484202247e-12,3.769728732309794e-08,0.0,0.0,6.861279631986737e-14,1.321184005079791e-12
127,infer,4.768371586472142e-08,8.130006082185103e-09,0.0,1.0295336245631097e-12,3.769728732309794e-08,0.0,0.0,7.224686153764931e-14,1.145420484202247e-12
128,infer,4.768371586472142e-08,8.130006079661162e-09,0.0,9.340196838222848e-13,3.769728732309794e-08,0.0,0.0,5.5826334033173246e-14,1.0295336245631097e-12
129,infer,4.768371586472142e-08,8.130006078607161e-09,0.0,9.360073839136014e-13,3.769728732309794e-08,0.0,0.0,5.0767625945107997e-14,9.340196838222848e-13
