epoch,mse
0,0.341207
1,0.418684
2,0.229475
3,0.091941
4,0.033127
5,0.012473
6,0.006348
7,0.004958
8,0.004878
9,0.005078
10,0.005344
11,0.005602
12,0.005799
13,0.005921
14,0.005989
15,0.006027
16,0.006042
17,0.006049
18,0.006048
19,0.006044
20,0.006038
21,0.006031
22,0.006024
23,0.006017
24,0.006011
25,0.006004
