sample,pc_seed0,pc_seed1,pc_seed2,bp_seed0,bp_seed1,bp_seed2
0,0.18952150913015126,0.1707009721755613,0.1671538209161315,0.1898549944429636,0.17083971299154935,0.1658459995445787
100,0.0825043593156907,0.10026991622775457,0.0647454917899922,0.15483969367638598,0.15104066193580912,0.12510771811201774
200,0.06236761867167334,0.061901794570587414,0.054771191790563334,0.1422513040099877,0.12611180904319214,0.11436035299267658
300,0.055955106140250704,0.05307212132398839,0.05153361371426144,0.12699105010447384,0.1159194009579207,0.10579978323387781
400,0.05578479212973329,0.051957770880845515,0.05099783186480504,0.11861725652033113,0.11291709868207353,0.09917683582052429
500,0.05521283346874916,0.051311073377653324,0.05092324951943592,0.11440740610108664,0.10859473301629546,0.09707935407653723
600,0.05511218251175724,0.051440196861850786,0.05122877740456185,0.11154479829120229,0.10710996765245852,0.09415744819158596
700,0.05528186946272652,0.05161334748733017,0.05135024224741506,0.11065346560423298,0.1060625316313749,0.09180142098502704
800,0.05524682352621724,0.051923209206902146,0.052042034259520684,0.10986849222675699,0.1061473965939827,0.09045769687762836
900,0.05606381631534991,0.052464191775019105,0.051409806960199714,0.10914868573152196,0.10584833580478978,0.08727645190821694
1000,0.05581707565837426,0.052528356276958614,0.05206668575698342,0.10501293016735512,0.10583489505643914,0.08511057325579376
1100,0.05585681208633552,0.05201064449092677,0.05170417989473892,0.10325243000095945,0.10575651341273778,0.08181380881150098
1200,0.05607845159417022,0.05221489709997001,0.05213655089961511,0.10068073470032628,0.10616533022899183,0.07851432212024559
1300,0.055836461026055786,0.052038995591228106,0.0518923731069831,0.09647502233851853,0.10530284032299181,0.07613447524821848
1400,0.05567937142266452,0.05233579742351877,0.052014926070353566,0.09340897325231214,0.1058519061277837,0.07267646339983243
1500,0.05637974557449188,0.052771611863934295,0.05229771087784349,0.09073750862478248,0.10542253029431513,0.06870154784792665
1600,0.05610188971289316,0.05267027202495458,0.05270595630822373,0.0862400357832958,0.10491815269545336,0.0624684472793341
1700,0.05642845336550525,0.05240311084581428,0.05274605747047628,0.08259281408994873,0.10467091273655818,0.05798989223909463
1800,0.05665520652426001,0.05216518749480678,0.05267153703718341,0.07755735119701287,0.10458743966553061,0.05484329462232859
1900,0.05644076049424647,0.05243689125743912,0.052952542974803264,0.07324561243145965,0.10421620641548553,0.04957142971144426
2000,0.056995967244309775,0.05243740739534203,0.05322106728242358,0.06868520397858646,0.10402302321018672,0.04542269226398569
2100,0.05738482061428488,0.05267615240452653,0.05303487336870136,0.06311544663036905,0.1034160565828065,0.04045173288573252
2200,0.05693501508757849,0.05284791288906873,0.053015812927484654,0.05894947665970685,0.10295903192001146,0.0360082245280766
2300,0.05736071379187047,0.052578515614081694,0.053311318642326806,0.05403238311519163,0.1025844832515463,0.03242448497645062
2400,0.0572893393328071,0.05247027941285986,0.053066786332902634,0.049829645789553165,0.10200584133924318,0.029438188233278616
2500,0.057392060986181964,0.052683321878778104,0.05311476792699607,0.04518002566891421,0.10122747216992839,0.026235652819853694
2600,0.057344206649628894,0.05289160425224735,0.05357438893239954,0.03997012843344733,0.10031679062167563,0.022705740845717873
2700,0.05757821745889616,0.05342999345745298,0.05356250301268829,0.03682999779603885,0.09913623046440531,0.02049809548109341
2800,0.057668212573109834,0.05281851832204652,0.05334435367861747,0.0334715640715588,0.09826935001130008,0.018074902331925005
2900,0.05808549036972591,0.05272640665008106,0.05341054035842882,0.03043138532666048,0.09622797752999185,0.015868796502618746
3000,0.05815797814920938,0.05301524698474159,0.054141426053559406,0.026669342236814535,0.09447706781663802,0.014214897767441557
