epoch,mse
0,0.364470
1,0.881303
2,0.858243
3,0.466759
4,0.187299
5,0.129441
6,0.126704
7,0.125676
8,0.106755
9,0.071892
10,0.039239
11,0.018690
12,0.008740
13,0.004861
14,0.003630
15,0.003409
16,0.003515
17,0.003695
18,0.003854
19,0.003956
20,0.004044
21,0.004088
22,0.004133
23,0.004143
24,0.004158
25,0.004167
