epoch,mse
0,0.451942
1,0.037248
2,0.003066
3,0.002563
4,0.002377
5,0.002221
6,0.002083
7,0.001955
8,0.001834
9,0.001720
10,0.001611
11,0.001507
12,0.001407
13,0.001311
14,0.001219
15,0.001131
16,0.001048
17,0.000968
18,0.000894
19,0.000823
20,0.000758
21,0.000697
22,0.000642
23,0.000590
24,0.000544
25,0.000501
