epoch,mse
0,1.106721
1,2.358599
2,1.989862
3,0.141223
4,0.004874
5,0.004488
6,0.004506
7,0.004514
8,0.004524
9,0.004529
10,0.004528
11,0.004528
12,0.004524
13,0.004523
14,0.004522
15,0.004518
16,0.004516
17,0.004515
18,0.004514
19,0.004510
20,0.004510
21,0.004509
22,0.004509
23,0.004508
24,0.004505
25,0.004504
