epoch,mse
0,0.229206
1,0.060285
2,0.011936
3,0.007116
4,0.005867
5,0.005022
6,0.004588
7,0.004525
8,0.004697
9,0.004992
10,0.005331
11,0.005670
12,0.005976
13,0.006215
14,0.006377
15,0.006473
16,0.006518
17,0.006525
18,0.006503
19,0.006459
20,0.006400
21,0.006335
22,0.006266
23,0.006196
24,0.006125
25,0.006053
