epoch,mse
0,0.188636
1,0.018658
2,0.003488
3,0.002556
4,0.002246
5,0.002073
6,0.001932
7,0.001799
8,0.001670
9,0.001544
10,0.001421
11,0.001301
12,0.001187
13,0.001079
14,0.000977
15,0.000884
16,0.000799
17,0.000723
18,0.000656
19,0.000597
20,0.000545
21,0.000501
22,0.000463
23,0.000430
24,0.000403
25,0.000380
